Timestamp,Open,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1512172800,10869.85,10875.0,10866.99,10875.0,91.05135713,989584.873597538
1512173700,10875.0,10942.99,10874.99,10942.99,442.94242744,4833694.720339191
1512174600,10942.99,10957.0,10942.98,10957.0,262.670207,2876687.7391978777
1512175500,10957.0,10957.0,10932.0,10935.01,279.03499281,3055160.68460454
1512176400,10935.01,10959.5,10905.0,10959.5,221.36014322,2421875.216883164
1512177300,10959.5,10997.5,10959.49,10997.49,212.81110539,2336087.3530398756
1512178200,10997.5,11086.9,10997.5,11086.9,919.59962488,10148177.384059062
1512179100,11086.9,11089.98,11026.01,11029.99,395.32874494,4372715.937060236
1512180000,11030.0,11030.0,10910.0,10961.1,531.89736117,5839930.19391038
1512180900,10961.11,10990.0,10931.05,10980.03,247.7399663,2714442.6072408166
1512181800,10980.03,10994.09,10980.02,10994.09,102.60723571,1127727.848011188
1512182700,10994.09,11060.0,10994.09,11005.11,365.56028216,4031122.9332819213
1512183600,11005.1,11005.1,10951.0,10990.96,480.23673445,5271568.624747924
1512184500,10990.95,10998.94,10961.63,10974.15,134.89062367,1481151.6386348365
1512185400,10974.15,11015.0,10973.0,11014.0,157.63000805,1733371.4533130878
1512186300,11014.0,11023.0,10930.0,10939.86,245.90960706,2701376.4757764456
1512187200,10939.87,11000.0,10856.0,10856.0,397.0119046,4338719.431305712
1512188100,10856.01,10856.01,10701.0,10799.96,623.09546169,6722516.479402727
1512189000,10799.95,10889.98,10776.0,10776.01,358.62192188,3880947.267954107
1512189900,10776.01,10874.99,10776.0,10872.5,271.99167107,2946602.7368766093
1512190800,10874.0,10878.38,10805.0,10825.0,212.51926767,2303603.703739296
1512191700,10825.0,10825.0,10760.0,10760.01,236.00552642,2548979.387609658
1512192600,10760.01,10822.12,10755.0,10822.12,261.08406985,2816091.0296096513
1512193500,10822.99,10910.0,10822.99,10910.0,194.48646911,2113706.700131533
1512194400,10910.0,10985.0,10910.0,10946.79,234.72528293,2570239.5223808037
1512195300,10948.82,10948.82,10880.0,10916.79,125.05447175,1364741.748445777
1512196200,10916.8,10934.98,10882.4,10900.25,137.61591314,1501935.014065595
1512197100,10900.26,10956.03,10875.0,10875.01,155.79575565,1701161.8417059956
1512198000,10875.01,10877.39,10822.81,10864.96,136.97808171,1486385.4904264119
1512198900,10864.96,10931.17,10864.96,10920.77,80.71373725,880385.4136816452
1512199800,10920.77,10980.0,10919.76,10959.35,166.50315284,1823417.7596880938
1512200700,10968.84,10989.0,10950.0,10965.89,187.03264161,2052062.675947464
1512201600,10979.99,10980.0,10909.06,10978.78,211.37409022,2311306.745146131
1512202500,10978.78,10988.01,10955.01,10988.01,81.8343226,897953.082935293
1512203400,10988.01,10988.5,10923.69,10960.27,97.84983581,1072106.9823065065
1512204300,10960.27,10971.78,10921.0,10969.33,100.50135148,1100621.2101800859
1512205200,10969.33,11025.0,10969.33,11024.99,451.53106445,4968692.4447420165
1512206100,11025.0,11050.0,11024.99,11050.0,182.99134111,2021029.1145966782
1512207000,11050.0,11081.0,11049.99,11081.0,171.04319577,1892938.82020763
1512207900,11081.04,11099.99,11081.03,11099.98,123.25561442,1367377.7781183308
1512208800,11099.99,11100.0,11099.99,11100.0,110.14854095,1222648.4783237723
1512209700,11100.0,11100.0,11065.82,11088.0,118.83906572,1317718.406798581
1512210600,11088.0,11099.97,11087.99,11099.97,40.46593551,449013.119676001
1512211500,11099.97,11100.0,11076.78,11090.0,68.44854033,759514.147280316
1512212400,11090.0,11100.0,11068.0,11100.0,91.94824352,1019817.3979020884
1512213300,11100.0,11100.0,10907.0,10907.0,189.17188273,2080301.6417348112
1512214200,10906.02,10962.5,10905.0,10906.0,288.81412957,3155841.658941693
1512215100,10906.0,10964.99,10905.99,10963.19,107.75297003,1177819.6957326545
1512216000,10963.2,11013.57,10963.19,10975.07,113.22902876,1245259.285399168
1512216900,10975.08,11001.49,10975.07,11000.48,72.44033792,796364.6430347912
1512217800,10999.0,11025.0,10961.42,11025.0,97.38168157,1070274.3017278141
1512218700,11025.0,11094.5,11024.99,11094.5,112.23426203,1240764.255967296
1512219600,11094.5,11094.5,11018.47,11088.0,106.02485439,1173408.0669191317
1512220500,11088.0,11100.0,11070.01,11090.03,160.83880618,1784644.965188225
1512221400,11090.03,11090.03,11043.83,11087.85,120.49926042,1333358.315310563
1512222300,11087.85,11090.0,10988.0,11020.01,217.67235098,2402356.4598810417
1512223200,11020.01,11088.88,10975.0,10975.01,260.94138012,2875221.851004694
1512224100,10975.01,10975.01,10907.3,10907.31,343.31559472,3753643.366344678
1512225000,10907.3,10907.31,10752.0,10841.06,528.74381056,5729824.0890040025
1512225900,10841.06,10955.0,10819.99,10922.96,190.23073966,2072317.410605984
1512226800,10922.96,10972.3,10920.63,10960.06,165.71959037,1813665.431355631
1512227700,10960.41,10960.41,10819.4,10848.93,219.33391442,2389982.5205482696
1512228600,10848.93,10880.0,10775.59,10775.59,227.61462352,2467255.7242492177
1512229500,10775.59,10836.43,10765.02,10784.46,244.41743295,2636852.753387974
1512230400,10784.46,10849.0,10784.46,10840.02,132.16859526,1431201.836814788
1512231300,10840.02,10840.02,10784.0,10789.0,171.30827134,1849357.654727964
1512232200,10789.0,10837.67,10788.99,10819.85,135.03547823,1459816.495610442
1512233100,10815.71,10875.95,10811.76,10870.43,183.09246735,1983887.8554317853
1512234000,10870.43,10890.0,10832.58,10889.86,120.21642237,1306296.3943055063
1512234900,10889.86,10948.99,10889.85,10948.99,199.8047397,2180855.3499788
1512235800,10948.99,10948.99,10889.98,10902.01,271.80441833,2968067.117727837
1512236700,10902.01,10932.0,10889.1,10918.46,94.63576315,1031973.705912698
1512237600,10918.46,10996.0,10918.45,10984.56,287.17810287,3149111.3770357
1512238500,10984.57,10984.57,10946.79,10970.0,114.27248944,1253274.4135048026
1512239400,10970.0,10994.2,10967.43,10989.81,112.75657003,1238182.2094656588
1512240300,10989.81,10989.83,10942.0,10942.01,121.58763541,1333963.7410254758
1512241200,10942.01,10950.01,10901.0,10943.01,181.51008088,1981044.6389608043
1512242100,10943.01,10971.0,10922.97,10969.89,92.27658748,1011031.357210549
1512243000,10969.92,10970.0,10942.0,10955.99,87.49583775,958803.6723762423
1512243900,10955.99,10956.0,10931.0,10935.0,127.16110996,1390737.7929398397
1512244800,10935.0,10959.4,10928.0,10959.4,110.84038721,1213249.8686809184
1512245700,10959.4,10967.54,10933.0,10935.48,115.35478821,1263367.8993400712
1512246600,10935.48,10960.0,10935.48,10940.01,129.51391951,1418054.6557001965
1512247500,10940.01,10967.54,10938.04,10967.54,140.74275011,1540709.0506205673
1512248400,10967.54,10998.0,10967.54,10998.0,194.70014616,2139546.5519656516
1512249300,10998.0,10998.95,10975.2,10975.71,229.17489922,2520238.1158919157
1512250200,10979.43,10995.0,10960.0,10995.0,158.39117374,1739288.4234946512
1512251100,10995.01,11050.0,10995.0,11020.0,451.93263523,4979713.148770476
1512252000,11020.01,11020.01,11001.0,11001.02,90.07772048,992523.1448635496
1512252900,11001.01,11020.0,10981.27,10981.28,115.69572971,1272879.6925420102
1512253800,10981.28,11015.33,10981.27,11015.19,97.3277973,1070291.2734625223
1512254700,11015.2,11015.2,10986.01,10986.01,145.39879363,1598957.351575024
