Timestamp,Open,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,Datetime
1510012800,6969.76,7039.99,6968.49,7021.01,378.57387635,2653542.6276837704,2017-11-06 19:00:00
1510013700,7021.01,7045.33,7000.0,7043.49,197.04016129,1384136.9073339265,2017-11-06 19:15:00
1510014600,7044.97,7067.5,7039.01,7060.73,259.39981897,1829262.2029990489,2017-11-06 19:30:00
1510015500,7061.76,7099.3,7061.59,7075.91,186.89124579,1323251.4429812452,2017-11-06 19:45:00
1510016400,7075.91,7130.0,7075.91,7106.55,224.13899256,1592161.0160158398,2017-11-06 20:00:00
1510017300,7106.55,7118.0,7083.0,7103.0,148.9790608,1057205.7371025581,2017-11-06 20:15:00
1510018200,7103.0,7130.0,7092.01,7100.01,155.84270788,1108878.2679590809,2017-11-06 20:30:00
1510019100,7100.01,7100.01,7050.0,7080.2,145.89637234,1032075.1980927548,2017-11-06 20:45:00
1510020000,7080.2,7080.21,7036.6,7036.6,143.47651488,1012926.9015652159,2017-11-06 21:00:00
1510020900,7036.61,7080.0,7024.53,7056.49,221.30117848,1556672.911362438,2017-11-06 21:15:00
1510021800,7054.34,7085.0,7054.18,7081.0,93.99054197,664343.198341426,2017-11-06 21:30:00
1510022700,7081.0,7098.12,7080.99,7089.01,111.20025045,788546.5494126363,2017-11-06 21:45:00
1510023600,7089.01,7137.99,7089.01,7137.98,211.50102078,1503727.2707473338,2017-11-06 22:00:00
1510024500,7137.94,7170.0,7089.02,7096.53,387.19466092,2759451.4568845495,2017-11-06 22:15:00
1510025400,7096.53,7141.0,7096.53,7141.0,115.58620086,823932.7254604192,2017-11-06 22:30:00
1510026300,7140.99,7141.0,7118.0,7128.99,128.34330689,915300.0521365879,2017-11-06 22:45:00
1510027200,7129.0,7150.0,7129.0,7141.0,111.94162664,799716.0977057328,2017-11-06 23:00:00
1510028100,7140.99,7149.98,7123.05,7149.98,102.82773518,733736.738238524,2017-11-06 23:15:00
1510029000,7149.98,7149.98,7149.0,7149.98,64.21282812,459088.2664946155,2017-11-06 23:30:00
1510029900,7149.98,7219.97,7149.97,7213.05,224.16201557,1610473.6251164475,2017-11-06 23:45:00
1510030800,7213.05,7216.6,7191.28,7208.34,191.13866708,1377817.2888447149,2017-11-07 00:00:00
1510031700,7208.34,7224.98,7200.0,7207.02,134.96611413,973080.8582104674,2017-11-07 00:15:00
1510032600,7207.02,7209.32,7168.11,7175.01,139.83923785,1005914.4617386918,2017-11-07 00:30:00
1510033500,7175.0,7175.01,7114.23,7140.0,291.05365113,2077352.524344396,2017-11-07 00:45:00
1510034400,7140.0,7159.73,7117.42,7122.13,96.03860445,685981.9094247904,2017-11-07 01:00:00
1510035300,7122.13,7128.14,7100.0,7122.06,97.77322567,695679.262311133,2017-11-07 01:15:00
1510036200,7122.06,7141.0,7122.05,7141.0,71.07537606,507198.9546363022,2017-11-07 01:30:00
1510037100,7141.46,7191.0,7141.46,7191.0,158.91877893,1137145.035430079,2017-11-07 01:45:00
1510038000,7191.0,7198.0,7153.11,7170.0,51.86296084,371991.7140325129,2017-11-07 02:00:00
1510038900,7170.0,7187.01,7169.99,7186.99,31.66355065,227219.2893229879,2017-11-07 02:15:00
1510039800,7187.0,7187.0,7170.0,7170.01,98.81140891,709079.8644229448,2017-11-07 02:30:00
1510040700,7170.01,7187.01,7170.01,7187.01,62.27090012,447012.2942392914,2017-11-07 02:45:00
1510041600,7187.01,7187.01,7175.94,7175.95,47.48448837,341099.6512496039,2017-11-07 03:00:00
1510042500,7175.95,7175.95,7175.94,7175.95,42.26812249,303313.6537210068,2017-11-07 03:15:00
1510043400,7175.95,7199.99,7175.94,7199.99,140.78092718,1011585.9416236876,2017-11-07 03:30:00
1510044300,7199.99,7227.0,7199.98,7200.1,79.83470161,575419.7309938776,2017-11-07 03:45:00
1510045200,7200.1,7216.95,7200.1,7216.95,115.07471041,829643.6832466915,2017-11-07 04:00:00
1510046100,7215.1,7229.98,7213.45,7215.3,92.07693678,664780.0292944058,2017-11-07 04:15:00
1510047000,7215.3,7215.3,7195.97,7201.64,36.36212109,261961.6177078687,2017-11-07 04:30:00
1510047900,7201.64,7207.0,7175.94,7175.95,60.72248065,436930.2387082399,2017-11-07 04:45:00
1510048800,7175.95,7177.71,7175.5,7176.21,51.10988355,366761.5374653501,2017-11-07 05:00:00
1510049700,7176.2,7176.21,7176.19,7176.2,31.79815074,228189.7204414725,2017-11-07 05:15:00
1510050600,7176.2,7176.2,7175.01,7175.02,37.23431103,267166.8798023833,2017-11-07 05:30:00
1510051500,7175.02,7192.98,7175.01,7184.23,143.92820348,1033648.8306691963,2017-11-07 05:45:00
1510052400,7184.56,7192.99,7181.55,7181.81,27.06666621,194434.6267068907,2017-11-07 06:00:00
1510053300,7181.81,7194.18,7181.8,7194.18,22.29694862,160159.1563575328,2017-11-07 06:15:00
1510054200,7194.18,7210.0,7194.17,7202.13,40.86752334,294327.8765522518,2017-11-07 06:30:00
1510055100,7209.41,7209.41,7193.0,7205.94,71.51014476,514873.92907934,2017-11-07 06:45:00
1510056000,7206.0,7210.0,7193.0,7206.99,114.62309504,825253.259106026,2017-11-07 07:00:00
1510056900,7205.17,7232.84,7199.31,7215.02,190.44889316,1374982.1959856641,2017-11-07 07:15:00
1510057800,7215.02,7220.0,7185.0,7219.99,111.57710056,803956.5249973199,2017-11-07 07:30:00
1510058700,7220.0,7222.98,7195.0,7219.0,111.43907506,803814.4415992688,2017-11-07 07:45:00
1510059600,7219.0,7219.98,7117.0,7117.0,322.60806276,2311040.054326115,2017-11-07 08:00:00
1510060500,7123.79,7123.81,7070.0,7071.01,197.49016222,1401744.371824148,2017-11-07 08:15:00
1510061400,7071.01,7099.66,7051.0,7097.99,279.30333105,1974101.2959496116,2017-11-07 08:30:00
1510062300,7097.99,7099.99,7088.99,7089.01,89.59471318,635980.963859042,2017-11-07 08:45:00
1510063200,7089.02,7099.09,7038.67,7070.27,250.03020429,1766488.7766629632,2017-11-07 09:00:00
1510064100,7070.27,7087.56,7060.01,7087.56,121.26776497,857625.2754438185,2017-11-07 09:15:00
1510065000,7087.56,7087.56,7059.82,7060.86,107.69830951,761817.1468043489,2017-11-07 09:30:00
1510065900,7060.87,7060.87,6980.0,7025.0,418.90461195,2935607.2454750026,2017-11-07 09:45:00
1510066800,7025.0,7049.99,7024.0,7045.02,170.65294646,1199481.9059044186,2017-11-07 10:00:00
1510067700,7045.02,7063.04,7027.05,7041.0,162.77037627,1145838.9279078967,2017-11-07 10:15:00
1510068600,7041.0,7050.02,7025.68,7044.01,139.74820672,982721.8128960534,2017-11-07 10:30:00
1510069500,7040.1,7068.29,7040.1,7065.21,115.80045469,816890.1201279438,2017-11-07 10:45:00
1510070400,7065.21,7069.99,7015.0,7015.01,163.4217233,1150818.523976542,2017-11-07 11:00:00
1510071300,7015.01,7030.0,7005.04,7009.0,135.77844172,952600.6133942514,2017-11-07 11:15:00
